"","Y","X","Comparisons","OR","95% C.I.L.B.","95% C.I.U.B.","p-Value","sign"
"1","Sensory Worse at 3 Months","Intraoperative SEP Feet","amplitude decrease vs. unchanged",3.01,0.857566597227197,10.5922108719383,"0.085",""
"2","Sensory Worse at 3 Months","Intraoperative SEP Feet","loss of response vs. unchanged",25.19,4.69705459625526,135.06552739492,"<0.001","**"
"3","Sensory Worse Long-Term","Intraoperative SEP Feet","amplitude decrease vs. unchanged",3.3,0.86878626650014,12.5347285286517,"0.08",""
"4","Sensory Worse Long-Term","Intraoperative SEP Feet","loss of response vs. unchanged",11,2.76260010901463,43.7993177532703,"<0.001","**"
"5","McCormick Scale Worse at 3 Months","Intraoperative SEP Feet","amplitude decrease vs. unchanged",1.57,0.327257981741507,7.52459938156485,"0.573",""
"6","McCormick Scale Worse at 3 Months","Intraoperative SEP Feet","loss of response vs. unchanged",7.77,1.95095018633129,30.956762741602,"0.004","**"
"7","McCormick Scale Worse Long-Term","Intraoperative SEP Feet","amplitude decrease vs. unchanged",1.27,0.275570086301865,5.84586943808384,"0.76",""
"8","McCormick Scale Worse Long-Term","Intraoperative SEP Feet","loss of response vs. unchanged",11,2.76260010901463,43.7993177532702,"<0.001","**"
"9","ASIA IS Worse at 3 Months","Intraoperative SEP Feet","amplitude decrease vs. unchanged",0,0,Inf,"0.995",""
"10","ASIA IS Worse at 3 Months","Intraoperative SEP Feet","loss of response vs. unchanged",3.18,0.680310428129493,14.8813931457504,"0.141",""
"11","ASIA IS Worse at Long-Term Follow-Up","Intraoperative SEP Feet","amplitude decrease vs. unchanged",0,0,Inf,"0.995",""
"12","ASIA IS Worse at Long-Term Follow-Up","Intraoperative SEP Feet","loss of response vs. unchanged",3.18,0.680310428129492,14.8813931457503,"0.141",""
"13","Pain Worse at 3 Months","Intraoperative SEP Feet","amplitude decrease vs. unchanged",5.25,1.23491962787346,22.319265828686,"0.025","*"
"14","Pain Worse at 3 Months","Intraoperative SEP Feet","loss of response vs. unchanged",4.37,0.985210142572667,19.4279613983383,"0.052",""
"15","Pain Worse at Long-Term Follow-Up","Intraoperative SEP Feet","amplitude decrease vs. unchanged",5.5,1.48350128411221,20.3909493286185,"0.011","*"
"16","Pain Worse at Long-Term Follow-Up","Intraoperative SEP Feet","loss of response vs. unchanged",4.81,1.26485114709274,18.3105782305549,"0.021","*"
"17","Motor Worse at 3 Months","Intraoperative MEP Legs","amplitude decrease vs. unchanged",5.14,0.84486564149012,31.3055452758854,"0.076",""
"18","Motor Worse at 3 Months","Intraoperative MEP Legs","loss of response vs. unchanged",2.57,0.708513569594549,9.33255929270872,"0.151",""
"19","Motor Worse at 3 Months","Intraoperative MEP Legs","n/a vs. unchanged",2.57,0.150271537524249,44.0019780649602,"0.514",""
"20","Motor Worse at Long-Term","Intraoperative MEP Legs","amplitude decrease vs. unchanged",7.09,1.1437084218278,43.9631209981271,"0.035","*"
"21","Motor Worse at Long-Term","Intraoperative MEP Legs","loss of response vs. unchanged",3.55,0.952208630963292,13.201148913276,"0.059",""
"22","Motor Worse at Long-Term","Intraoperative MEP Legs","n/a vs. unchanged",3.55,0.204781102405508,61.3838278346679,"0.384",""
"23","McCormick Scale Worse at 3 Months","Intraoperative MEP Legs","amplitude decrease vs. unchanged",5.25,0.89429029496666,30.8205290330557,"0.066",""
"24","McCormick Scale Worse at 3 Months","Intraoperative MEP Legs","loss of response vs. unchanged",2.63,0.635424009249753,10.8441369852212,"0.182",""
"25","McCormick Scale Worse at 3 Months","Intraoperative MEP Legs","amplitude decrease vs. unchanged",5.25,0.296739597849311,92.8844690758012,"0.258",""
"26","McCormick Scale Worse Long-Term","Intraoperative MEP Legs","amplitude decrease vs. unchanged",4,0.699332884815191,22.8789469899277,"0.119",""
"27","McCormick Scale Worse Long-Term","Intraoperative MEP Legs","loss of response vs. unchanged",4,1.06116577163223,15.0777573379413,"0.041","**"
"28","McCormick Scale Worse Long-Term","Intraoperative MEP Legs","amplitude decrease vs. unchanged",0,0,Inf,"0.993",""
"29","ASIA IS Worse at 3 Months","Intraoperative MEP Legs","amplitude decrease vs. unchanged",2.3,0.213339626626799,24.7961435183999,"0.492",""
"30","ASIA IS Worse at 3 Months","Intraoperative MEP Legs","loss of response vs. unchanged",3.83,0.729813103611853,20.1345308432001,"0.112",""
"31","ASIA IS Worse at 3 Months","Intraoperative MEP Legs","n/a vs. unchanged",0,0,Inf,"0.993",""
"32","ASIA IS Worse at Long Term","Intraoperative MEP Legs","amplitude decrease vs. unchanged",1.8,0.173834822332031,18.638383015179,"0.622",""
"33","ASIA IS Worse at Long Term","Intraoperative MEP Legs","loss of response vs. unchanged",1.8,0.30438189018624,10.6445228985783,"0.517",""
